"","Var1","Freq"
"614","assiduously",1
"615","assist",7
"616","assistance",13
"617","assistant",1
"618","assisted",4
"619","assisting",2
"620","associating",1
"621","assume",3
"622","assumed",1
"623","assurance",15
"624","assurances",8
"625","assure",39
"626","assured",28
"627","assuring",4
"628","astonish",2
"629","astonished",14
"630","astonishment",30
"631","at",787
"632","ate",3
"633","atone",2
"634","atoned",1
"635","atonement",2
"636","attach",3
"637","attached",11
"638","attachment",27
"639","attachments",1
"640","attack",4
"641","attacked",1
"642","attacks",3
"643","attained",1
"644","attempt",21
"645","attempted",4
"646","attempting",4
"647","attend",5
"648","attendance",5
"649","attendant",1
"650","attendants",1
"651","attended",24
"652","attending",9
"653","attention",68
"654","attentions",26
"655","attentive",10
"656","attentively",3
"657","attics",1
"658","attitude",1
"659","attorney",3
"660","attracted",3
"661","attraction",3
"662","attractions",4
"663","attribute",4
"664","attributed",5
"665","attributing",1
"666","audible",1
"667","audience",2
"668","aught",1
"669","augment",1
"670","augmented",1
"671","august",1
"672","aunt",78
"673","aunt's",6
"674","aunts",1
"675","austen",1
"676","austerity",1
"677","authorise",1
"678","authorised",2
"679","authorising",1
"680","authoritative",2
"681","authority",9
"682","authorized",1
"683","avail",1
"684","availed",1
"685","avarice",1
"686","avenue",1
"687","avoid",18
"688","avoidance",1
"689","avoided",1
"690","avoiding",2
"691","avowal",3
"692","avowed",3
"693","awaited",1
"694","awake",2
"695","awakened",4
"696","aware",14
"697","away",117
"698","awe",3
"699","awed",2
"700","awful",2
"701","awkward",10
"702","awkwardness",3
"703","awoke",1
"704","aye",6
"705","b",1
"706","back",41
"707","backed",1
"708","backgammon",2
"709","backward",1
"710","backwards",1
"711","bad",15
"712","bags",1
"713","bakewell",1
"714","ball",36
"715","balls",8
"716","balm",1
"717","bandbox",1
"718","banish",3
"719","banished",3
"720","banks",2
"721","barbarous",1
"722","barbarously",1
"723","bare",1
"724","barefaced",1
"725","barely",1
"726","barnet",2
"727","barouche",1
"728","bashful",1
"729","basis",1
"730","bass",1
"731","bath",1
"732","bathing",2
"733","battled",1
"734","be",1240
"735","bear",25
"736","bearing",2
"737","bears",2
"738","beatings",1
"739","beauteous",1
"740","beauties",4
"741","beautiful",15
"742","beauty",27
"743","beaux",1
"744","became",16
"745","because",62
"746","become",9
"747","becomes",4
"748","becoming",3
"749","bed",5
"750","bedrooms",1
"751","been",515
"752","befall",2
"753","before",227
"754","beforehand",1
"755","befriended",1
"756","beg",17
"757","began",59
"758","begged",8
"759","begging",2
"760","begin",12
"761","beginning",12
"762","begins",4
"763","begs",1
"764","begun",2
"765","behalf",4
"766","behave",2
"767","behaved",8
"768","behaves",2
"769","behaviour",55
"770","beheld",2
"771","behind",14
"772","beholding",3
"773","being",174
"774","belief",15
"775","believe",87
"776","believed",37
"777","believes",1
"778","believing",12
"779","bell",6
"780","belong",3
"781","belonged",3
"782","belonging",1
"783","belongs",2
"784","beloved",2
"785","below",5
"786","benches",1
"787","beneath",5
"788","beneficence",1
"789","beneficial",1
"790","benefit",5
"791","benefited",4
"792","benefiting",1
"793","benefits",1
"794","benevolence",3
"795","benevolent",1
"796","bennet",294
"797","bennet's",29
"798","bennets",10
"799","bent",3
"800","bequeathed",1
"801","bequest",1
"802","besides",12
"803","best",41
"804","bestow",7
"805","bestowed",8
"806","bestowing",1
"807","betray",3
"808","betrayed",4
"809","bets",1
"810","better",92
"811","between",63
"812","bewailed",1
"813","bewildered",1
"814","bewitched",1
"815","bewitching",1
"816","beyond",36
"817","bid",1
"818","bidding",3
"819","billiard",1
"820","bills",1
"821","bingley",257
"822","bingley's",49
"823","bingleys",5
"824","birds",2
"825","birmingham",1
"826","birth",5
"827","bit",3
"828","biting",1
"829","bitter",2
"830","bitterest",1
"831","bitterly",2
"832","bitterness",5
"833","black",1
"834","blacken",1
"835","blame",16
"836","blameable",1
"837","blamed",1
"838","blameless",1
"839","blamelessness",1
"840","blaming",3
"841","blasted",1
"842","blemish",1
"843","blenheim",1
"844","bless",3
"845","blessed",4
"846","blessing",4
"847","blind",6
"848","blinded",2
"849","blinds",1
"850","blots",1
"851","blow",1
"852","blown",1
"853","blowsy",1
"854","blue",2
"855","blush",4
"856","blushed",7
"857","blushing",1
"858","board",1
"859","boast",11
"860","boasted",2
"861","boasting",1
"862","bodies",1
"863","body",2
"864","boisterously",1
"865","bold",2
"866","boldly",1
"867","bonnet",3
"868","book",18
"869","books",14
"870","bordered",2
"871","bordering",3
"872","bore",9
"873","born",4
"874","borne",5
"875","borrow",2
"876","borrowed",1
"877","bosom",1
"878","bosoms",1
"879","both",71
"880","bottle",2
"881","bottom",1
"882","bought",5
"883","bound",1
"884","boundary",2
"885","boundless",1
"886","bounds",1
"887","bounty",1
"888","bourgh",35
"889","bourgh's",4
"890","bow",11
"891","bowed",3
"892","bowing",1
"893","bowl",1
"894","bows",2
"895","box",1
"896","boxes",1
"897","boy",4
"898","boys",3
"899","bracelets",1
"900","brain",2
"901","brains",1
"902","branch",4
"903","breach",3
"904","break",2
"905","breakfast",26
"906","breakfasted",1
"907","breaking",2
"908","breast",2
"909","breath",2
"910","breathed",1
"911","breathing",1
"912","breathless",2
"913","bred",4
"914","breeding",6
"915","brevity",1
"916","bribe",1
"917","bribery",1
"918","bride",3
"919","bridegroom",1
"920","bridge",3
"921","briefly",4
"922","bright",1
"923","brightened",1
"924","brightening",1
"925","brightest",2
"926","brighton",24
"927","brilliancy",2
"928","bring",18
"929","bringing",12
"930","brings",1
"931","brink",2
"932","britain",1
"933","british",1
"934","brittle",1
"935","broad",1
"936","broke",2
"937","broken",7
"938","bromley",1
"939","brooking",1
"940","brother",66
"941","brother's",13
"942","brotherly",1
"943","brothers",2
"944","brought",37
"945","brow",1
"946","brown",1
"947","build",1
"948","building",3
"949","built",3
"950","burning",1
"951","burnt",1
"952","burst",3
"953","burying",1
"954","busily",3
"955","business",45
"956","bustle",1
"957","busy",1
"958","but",1002
"959","butcher's",1
"960","butler",1
"961","buy",4
"962","buying",1
"963","by",636
"964","bye",5
"965","cake",1
"966","calculate",1
"967","calculated",3
"968","calculation",1
"969","calico",1
"970","call",28
"971","called",41
"972","calling",15
"973","calls",1
"974","calm",5
"975","calmly",1
"976","calmness",4
"977","cambric",1
"978","cambridge",1
"979","came",90
"980","camp",3
"981","campful",1
"982","can",210
"983","can't",2
"984","candid",1
"985","candour",3
"986","cannot",112
"987","canvas",1
"988","canvassed",2
"989","capable",18
"990","capacity",1
"991","capers",1
"992","capital",4
"993","caprice",4
"994","captain",4
"995","captivate",1
"996","captivated",1
"997","captivating",2
"998","captivation",1
"999","card",9
"1000","cards",7
"1001","care",35
"1002","cared",7
"1003","careful",4
"1004","carefully",3
"1005","careless",2
"1006","carelessness",2
"1007","cares",2
"1008","caring",2
"1009","caroline",14
"1010","caroline's",3
"1011","carpets",1
"1012","carriage",44
"1013","carriages",6
"1014","carried",8
"1015","carry",5
"1016","carrying",4
"1017","carter",4
"1018","carved",1
"1019","case",32
"1020","cases",6
"1021","cassino",1
"1022","cast",2
"1023","casual",1
"1024","catch",4
"1025","catching",1
"1026","catherine",110
"1027","catherine's",16
"1028","caught",11
"1029","cause",19
"1030","caused",1
"1031","causes",5
"1032","caution",3
"1033","cautioning",2
"1034","cautious",4
"1035","cautiousness",1
"1036","cease",2
"1037","ceased",6
"1038","ceaseless",1
"1039","celebrated",2
"1040","celerity",1
"1041","censure",5
"1042","censured",2
"1043","censuring",1
"1044","cents",1
"1045","ceremonies",1
"1046","ceremonious",3
"1047","ceremony",5
"1048","certain",55
"1049","certainly",72
"1050","certainty",8
"1051","cessation",1
"1052","chagrin",1
"1053","chair",6
"1054","chaise",11
"1055","challenge",1
"1056","chamber",2
"1057","chamberlayne",1
"1058","chambermaid",2
"1059","chance",18
"1060","chanced",1
"1061","chances",1
"1062","change",24
"1063","changed",8
"1064","changes",1
"1065","changing",3
"1066","chaperon",1
"1067","chapter",61
"1068","character",64
"1069","characterise",1
"1070","characteristic",2
"1071","characters",3
"1072","charge",8
"1073","charged",1
"1074","charity",1
"1075","charles",7
"1076","charlotte",68
"1077","charlotte's",17
"1078","charm",6
"1079","charming",20
"1080","charmingly",2
"1081","charms",4
"1082","chatsworth",1
"1083","chatty",1
"1084","cheap",1
"1085","cheapside",2
"1086","cheat",1
"1087","cheating",1
"1088","check",4
"1089","checked",5
"1090","checking",2
"1091","cheeks",4
"1092","cheerful",7
"1093","cheerfully",2
"1094","cheerfulness",7
"1095","cheering",2
"1096","cherish",1
"1097","cherished",4
"1098","chestnuts",1
"1099","chicken",1
"1100","chief",15
"1101","chiefly",10
"1102","child",14
"1103","childhood",1
"1104","children",25
"1105","chimney",1
"1106","chin",1
"1107","china",1
"1108","choice",15
"1109","choose",19
"1110","chooses",8
"1111","choosing",1
"1112","chose",16
"1113","chosen",8
"1114","christening",1
"1115","christian",2
"1116","christmas",6
"1117","church",11
"1118","circle",7
"1119","circles",1
"1120","circuit",1
"1121","circulated",1
"1122","circulating",1
"1123","circulation",2
"1124","circumspect",1
"1125","circumspection",2
"1126","circumstance",19
"1127","circumstances",28
"1128","city",1
"1129","civil",18
"1130","civilities",7
"1131","civility",42
"1132","civilly",3
"1133","claim",5
"1134","claimed",3
"1135","claims",6
"1136","clamorous",1
"1137","clapham",4
"1138","clarke's",1
"1139","class",2
"1140","cleanse",1
"1141","clear",9
"1142","cleared",2
"1143","clearer",1
"1144","clearing",1
"1145","clearly",3
"1146","clement's",1
"1147","clergy",1
"1148","clergyman",8
"1149","clerical",1
"1150","clerk",1
"1151","clever",7
"1152","clock",1
"1153","close",9
"1154","closed",6
"1155","closely",1
"1156","closer",1
"1157","closest",2
"1158","closet",1
"1159","closure",1
"1160","clothes",13
"1161","clouded",1
"1162","clue",1
"1163","clump",1
"1164","cluster",1
"1165","coach",10
"1166","coachman",1
"1167","coachman's",1
"1168","coarse",1
"1169","coarseness",2
"1170","coat",4
"1171","coats",1
"1172","coaxed",1
"1173","coffee",7
"1174","cogent",1
"1175","coherent",1
"1176","coincide",1
"1177","coincided",1
"1178","coincidence",1
"1179","cold",18
"1180","colder",1
"1181","coldly",2
"1182","colds",1
"1183","collect",2
"1184","collected",3
"1185","collecting",2
"1186","collection",4
"1187","collins",156
"1188","collins's",24
"1189","collinses",5
"1190","colonel",65
"1191","colonel's",1
"1192","colour",12
"1193","coloured",6
"1194","colouring",3
"1195","combated",1
"1196","come",93
"1197","comes",16
"1198","comfort",31
"1199","comfortable",12
"1200","comfortably",2
"1201","comforted",1
"1202","comfortless",1
"1203","comforts",4
"1204","coming",60
"1205","command",7
"1206","commanded",2
"1207","commencement",2
"1208","commendable",1
"1209","commendation",8
"1210","commendations",1
"1211","commended",2
"1212","commerce",1
"1213","commiseration",1
"1214","commission",7
"1215","commissioned",1
"1216","commissioning",1
"1217","common",19
"1218","commonest",1
"1219","commonly",1
"1220","communicate",3
"1221","communicated",3
"1222","communication",11
"1223","communications",1
"1224","communicative",1
"1225","communicativeness",1
"1226","companion",16
"1227","companions",7
"1228","company",22
"1229","comparative",3
"1230","comparatively",3
"1231","compare",1
"1232","compared",4
"1233","comparing",2
"1234","comparison",13
"1235","comparisons",1
"1236","compass",1
"1237","compassion",14
"1238","compassionate",2
"1239","compatible",2
"1240","compensation",1
"1241","competition",3
"1242","complacency",5
"1243","complain",4
"1244","complained",1
"1245","complaining",1
"1246","complaint",1
"1247","complaints",4
"1248","complaisance",5
"1249","complaisant",1
"1250","complete",8
"1251","completed",2
"1252","completely",7
"1253","completion",1
"1254","complexion",7
"1255","compliance",1
"1256","complied",4
"1257","compliment",26
"1258","complimented",3
"1259","complimenting",1
"1260","compliments",11
"1261","comply",3
"1262","complying",3
"1263","compose",3
"1264","composed",3
"1265","composedly",3
"1266","composition",1
"1267","composure",16
"1268","comprehend",19
"1269","comprehended",3
"1270","comprehends",1
"1271","comprehension",1
"1272","comprise",1
"1273","comprised",2
"1274","compromised",1
"1275","conceal",13
"1276","concealed",7
"1277","concealing",1
"1278","concealment",2
"1279","conceals",1
"1280","conceit",5
"1281","conceited",6
"1282","conceive",3
"1283","conception",1
"1284","concern",26
"1285","concerned",18
"1286","concerning",5
"1287","concerns",8
"1288","concerto",1
"1289","conciliate",1
"1290","conciliating",1
"1291","conciliatory",1
"1292","concise",1
"1293","concisely",2
"1294","conclude",5
"1295","concluded",10
"1296","concluding",1
"1297","conclusion",8
"1298","concurrence",2
"1299","condemn",3
"1300","condemned",2
"1301","condescend",1
"1302","condescended",5
"1303","condescendingly",1
"1304","condescends",1
"1305","condescension",7
"1306","condition",3
"1307","conditional",1
"1308","conditionally",1
"1309","conditions",1
"1310","condole",2
"1311","condolence",1
"1312","conduct",23
"1313","conducted",2
"1314","confederacy",1
"1315","conference",4
"1316","confess",16
"1317","confessed",4
"1318","confession",3
"1319","confidante",2
"1320","confide",1
"1321","confidence",11
"1322","confident",3
"1323","confidential",1
"1324","confidently",1
"1325","confiding",2
"1326","confined",5
"1327","confinement",1
"1328","confirm",1
"1329","confirmation",4
"1330","confirmed",3
"1331","confirming",2
"1332","confirms",1
"1333","confused",4
"1334","confusion",11
"1335","congenial",1
"1336","congratulate",7
"1337","congratulated",2
"1338","congratulation",1
"1339","congratulations",12
"1340","congratulatory",1
"1341","conjecture",7
"1342","conjectured",2
"1343","conjectures",4
"1344","conjecturing",2
"1345","conjugal",2
"1346","conjunction",1
"1347","connect",2
"1348","connected",14
"1349","connection",20
"1350","connections",18
"1351","connivance",1
"1352","connubial",1
"1353","conquer",2
"1354","conquered",1
"1355","conquest",3
"1356","conscience",5
"1357","conscientious",1
"1358","conscientiously",1
"1359","conscious",3
"1360","consciousness",2
"1361","consent",13
"1362","consented",2
"1363","consenting",1
"1364","consequence",32
"1365","consequences",1
"1366","consequent",1
"1367","consequential",1
"1368","consequently",10
"1369","consider",33
"1370","considerable",9
"1371","considerably",3
"1372","consideration",14
"1373","considerations",1
"1374","considered",23
"1375","considering",14
"1376","consign",1
"1377","consigned",1
"1378","consisted",2
"1379","consistency",1
"1380","consistent",3
"1381","consists",1
"1382","consolation",10
"1383","consolatory",1
"1384","console",9
"1385","consoled",2
"1386","consoling",3
"1387","constancy",1
"1388","constant",12
"1389","constantly",3
"1390","consternation",1
"1391","constitute",1
"1392","constitution",1
"1393","constrained",1
"1394","construction",1
"1395","construed",1
"1396","construing",1
"1397","consult",3
"1398","consulted",2
"1399","consulting",2
"1400","contain",6
"1401","contained",7
"1402","containing",2
"1403","contains",1
"1404","contemplation",4
"1405","contempt",12
"1406","contemptuously",1
"1407","content",1
"1408","contented",4
"1409","contentment",3
"1410","contents",9
"1411","continual",3
"1412","continually",6
"1413","continuance",3
"1414","continue",9
"1415","continued",51
"1416","continuing",2
"1417","contracted",3
"1418","contradict",2
"1419","contradicted",1
"1420","contradictions",1
"1421","contrariety",1
"1422","contrariwise",1
"1423","contrary",10
"1424","contrast",3
"1425","contrasted",1
"1426","contribute",2
"1427","contributed",1
"1428","contrivance",4
"1429","contrive",3
"1430","contrived",3
"1431","controverted",1
"1432","convenience",3
"1433","convenient",5
"1434","conversation",61
"1435","conversations",1
"1436","converse",4
"1437","conversed",1
"1438","conversible",1
"1439","conversing",3
"1440","convert",1
"1441","converting",1
"1442","convey",2
"1443","conveyed",2
"1444","conveying",1
"1445","conviction",16
"1446","convince",4
"1447","convinced",40
"1448","cook",1
"1449","cooking",1
"1450","cooks",1
"1451","cool",3
"1452","coolly",4
"1453","copied",1
"1454","coppice",1
"1455","copse",4
"1456","coquetry",1
"1457","cordial",3
"1458","cordiality",4
"1459","cordially",3
"1460","corner",1
"1461","corps",6
"1462","correct",2
"1463","correspond",1
"1464","correspondence",5
"1465","correspondent",2
"1466","correspondents",1
"1467","corroborated",1
"1468","corroboration",1
"1469","corruption",1
"1470","cost",4
"1471","costing",1
"1472","cottagers",1
"1473","cough",2
"1474","coughing",1
"1475","coughs",1
"1476","could",526
"1477","counted",1
"1478","countenance",30
"1479","counteract",1
"1480","counteracted",2
"1481","counterbalance",1
"1482","counterpart",1
"1483","counting",1
"1484","country",41
"1485","county",6
"1486","couple",8
"1487","couples",1
"1488","courage",12
"1489","courier",1
"1490","course",46
"1491","courses",3
"1492","court",4
"1493","courted",2
"1494","courteous",1
"1495","courtesy",2
"1496","courtier",1
"1497","courting",1
"1498","courtship",2
"1499","cousin",41
"1500","cousin's",8
"1501","cousins",11
"1502","cover",1
"1503","covered",2
"1504","covering",2
"1505","covies",1
"1506","cows",1
"1507","cradles",1
"1508","crammed",1
"1509","crayons",1
"1510","created",4
"1511","created_",1
"1512","creative",1
"1513","creature",14
"1514","creatures",3
"1515","credit",27
"1516","creditable",2
"1517","creditably",1
"1518","creditors",2
"1519","cried",91
"1520","critical",1
"1521","criticise",1
"1522","criticisms",1
"1523","cross",4
"1524","crossed",5
"1525","crossing",2
"1526","crowd",1
"1527","crowded",3
"1528","crown",1
"1529","crowned",1
"1530","cruel",4
"1531","cruelly",3
"1532","cruelty",4
"1533","crushing",1
"1534","cry",1
"1535","crying",2
"1536","cucumber",1
"1537","culprit",1
